# Start time is 11:01:42
# 
# Heater-output, Time, TempMXC, TempProbe
# % ,s, K ,K 
# Comments: n.a.
1.666000000000000014e+01 1.634115702348576784e+09 1.011369999999999977e-02 1.927569999999999978e-02
1.666000000000000014e+01 1.634115714054237843e+09 1.008790000000000034e-02 1.936169999999999905e-02
1.666000000000000014e+01 1.634115724096455336e+09 1.008210000000000009e-02 1.947379999999999944e-02
1.666000000000000014e+01 1.634115734135111094e+09 1.001540000000000069e-02 1.931019999999999959e-02
1.666000000000000014e+01 1.634115744177408457e+09 1.003929999999999927e-02 1.926529999999999909e-02
1.666000000000000014e+01 1.634115754223033905e+09 1.017009999999999963e-02 1.925659999999999872e-02
1.666000000000000014e+01 1.634115764271216393e+09 1.018529999999999956e-02 1.935100000000000015e-02
1.666000000000000014e+01 1.634115774315904617e+09 1.025829999999999971e-02 1.936370000000000105e-02
1.666000000000000014e+01 1.634115784374850750e+09 1.021700000000000039e-02 1.942369999999999861e-02
1.666000000000000014e+01 1.634115794419759989e+09 1.025829999999999971e-02 1.934200000000000155e-02
1.666000000000000014e+01 1.634115804455539703e+09 1.024130000000000006e-02 1.957419999999999993e-02
1.666000000000000014e+01 1.634115814496181011e+09 1.036630000000000017e-02 1.950110000000000038e-02
1.666000000000000014e+01 1.634115824541917086e+09 1.036669999999999953e-02 1.973559999999999898e-02
1.666000000000000014e+01 1.634115834585767031e+09 1.038219999999999942e-02 1.973729999999999929e-02
1.666000000000000014e+01 1.634115844633538961e+09 1.037670000000000085e-02 1.968970000000000095e-02
1.666000000000000014e+01 1.634115854666532278e+09 1.046629999999999956e-02 1.964139999999999983e-02
1.666000000000000014e+01 1.634115864711104393e+09 1.041880000000000063e-02 1.994889999999999858e-02
1.666000000000000014e+01 1.634115874752207756e+09 1.050470000000000050e-02 1.997459999999999861e-02
1.666000000000000014e+01 1.634115884795205832e+09 1.053250000000000020e-02 1.996159999999999948e-02
1.666000000000000014e+01 1.634115894840136290e+09 1.065559999999999945e-02 1.998729999999999951e-02
1.666000000000000014e+01 1.634115904881160259e+09 1.062270000000000054e-02 1.993939999999999949e-02
1.666000000000000014e+01 1.634115914920243263e+09 1.070270000000000075e-02 1.996509999999999951e-02
1.666000000000000014e+01 1.634115924960319996e+09 1.074890000000000047e-02 2.027589999999999948e-02
1.666000000000000014e+01 1.634115935016802549e+09 1.079910000000000071e-02 2.025860000000000161e-02
1.666000000000000014e+01 1.634115945069674969e+09 1.079259999999999942e-02 2.020129999999999842e-02
1.666000000000000014e+01 1.634115955104122162e+09 1.092369999999999973e-02 2.013509999999999953e-02
1.666000000000000014e+01 1.634115965165001154e+09 1.094960000000000030e-02 2.031360000000000110e-02
1.666000000000000014e+01 1.634115975207959890e+09 1.100699999999999942e-02 2.030600000000000113e-02
1.666000000000000014e+01 1.634115985239242077e+09 1.100510000000000030e-02 2.040020000000000028e-02
1.666000000000000014e+01 1.634115995286058903e+09 1.111009999999999949e-02 2.041429999999999981e-02
1.666000000000000014e+01 1.634116005329130173e+09 1.109669999999999927e-02 2.039809999999999887e-02
1.666000000000000014e+01 1.634116015372443676e+09 1.122910000000000054e-02 2.039339999999999903e-02
1.666000000000000014e+01 1.634116025408635616e+09 1.123320000000000048e-02 2.053659999999999861e-02
1.666000000000000014e+01 1.634116035452793360e+09 1.140749999999999924e-02 2.047710000000000155e-02
1.666000000000000014e+01 1.634116045498259783e+09 1.140820000000000028e-02 2.070260000000000156e-02
1.666000000000000014e+01 1.634116055537575006e+09 1.147519999999999964e-02 2.061870000000000022e-02
1.666000000000000014e+01 1.634116065572486877e+09 1.147399999999999982e-02 2.052709999999999951e-02
1.666000000000000014e+01 1.634116075629364014e+09 1.159710000000000081e-02 2.052980000000000083e-02
1.666000000000000014e+01 1.634116085678076506e+09 1.159259999999999978e-02 2.057950000000000057e-02
1.666000000000000014e+01 1.634116095719335318e+09 1.164139999999999966e-02 2.070359999999999909e-02
1.666000000000000014e+01 1.634116105752095461e+09 1.163480000000000070e-02 2.059060000000000057e-02
1.666000000000000014e+01 1.634116115789523363e+09 1.178880000000000032e-02 2.057720000000000035e-02
1.666000000000000014e+01 1.634116125843816996e+09 1.177470000000000079e-02 2.045769999999999880e-02
1.666000000000000014e+01 1.634116135903308392e+09 1.182659999999999961e-02 2.042309999999999959e-02
1.666000000000000014e+01 1.634116145960552216e+09 1.185070000000000047e-02 2.086829999999999935e-02
1.666000000000000014e+01 1.634116156004610300e+09 1.188550000000000023e-02 2.075439999999999924e-02
1.666000000000000014e+01 1.634116166074035883e+09 1.189600000000000032e-02 2.071220000000000006e-02
1.666000000000000014e+01 1.634116176109610081e+09 1.195560000000000025e-02 2.065890000000000087e-02
1.666000000000000014e+01 1.634116186156197309e+09 1.200129999999999947e-02 2.070260000000000156e-02
1.666000000000000014e+01 1.634116196202209234e+09 1.209969999999999969e-02 2.062430000000000166e-02
1.666000000000000014e+01 1.634116206255184412e+09 1.213400000000000069e-02 2.062399999999999997e-02
1.666000000000000014e+01 1.634116216303186417e+09 1.207180000000000059e-02 2.068520000000000081e-02
1.666000000000000014e+01 1.634116226349859953e+09 1.210349999999999968e-02 2.085659999999999945e-02
1.666000000000000014e+01 1.634116236397526503e+09 1.235969999999999951e-02 2.095539999999999903e-02
1.666000000000000014e+01 1.634116246436781406e+09 1.236489999999999985e-02 2.079390000000000058e-02
1.666000000000000014e+01 1.634116256486351967e+09 1.238350000000000041e-02 2.083410000000000123e-02
1.666000000000000014e+01 1.634116266535612822e+09 1.238999999999999997e-02 2.103079999999999880e-02
1.666000000000000014e+01 1.634116276594506741e+09 1.244909999999999940e-02 2.098420000000000146e-02
1.666000000000000014e+01 1.634116286649315119e+09 1.246509999999999979e-02 2.107010000000000133e-02
1.666000000000000014e+01 1.634116296696181774e+09 1.248589999999999943e-02 2.106339999999999948e-02
1.666000000000000014e+01 1.634116306734168291e+09 1.248559999999999948e-02 2.069429999999999881e-02
1.666000000000000014e+01 1.634116316784225702e+09 1.260230000000000031e-02 2.072730000000000058e-02
1.666000000000000014e+01 1.634116326830653906e+09 1.260499999999999989e-02 2.085290000000000060e-02
