# Start time is 10:23:06
# 
# Heater-output, Time, TempMXC, TempProbe
# % ,s, K ,K 
# Comments: n.a.
2.000000000000000000e+01 1.634113386058255911e+09 9.871899999999999425e-03 1.911830000000000127e-02
2.000000000000000000e+01 1.634113397755466938e+09 9.946200000000000527e-03 1.911830000000000127e-02
2.000000000000000000e+01 1.634113407802452326e+09 9.946200000000000527e-03 1.906249999999999958e-02
2.000000000000000000e+01 1.634113417837151051e+09 9.935400000000000481e-03 1.906249999999999958e-02
2.000000000000000000e+01 1.634113427883814335e+09 9.935400000000000481e-03 1.918320000000000095e-02
2.000000000000000000e+01 1.634113437947978973e+09 9.889600000000000127e-03 1.918320000000000095e-02
2.000000000000000000e+01 1.634113447984919786e+09 9.889600000000000127e-03 1.916429999999999870e-02
2.000000000000000000e+01 1.634113458027067184e+09 9.902400000000000438e-03 1.916429999999999870e-02
2.000000000000000000e+01 1.634113468059025049e+09 9.902400000000000438e-03 1.917340000000000017e-02
2.000000000000000000e+01 1.634113478104528904e+09 9.915000000000000202e-03 1.917340000000000017e-02
2.000000000000000000e+01 1.634113488153736591e+09 9.915000000000000202e-03 1.896810000000000163e-02
2.000000000000000000e+01 1.634113498196481466e+09 9.929000000000000326e-03 1.896810000000000163e-02
2.000000000000000000e+01 1.634113508249114513e+09 9.929000000000000326e-03 1.917109999999999995e-02
2.000000000000000000e+01 1.634113518284855604e+09 1.000140000000000057e-02 1.917109999999999995e-02
2.000000000000000000e+01 1.634113528334964037e+09 1.000140000000000057e-02 1.931460000000000121e-02
2.000000000000000000e+01 1.634113538380096436e+09 9.935299999999999340e-03 1.931460000000000121e-02
2.000000000000000000e+01 1.634113548418718815e+09 9.935299999999999340e-03 1.929780000000000037e-02
