# Start time is 12:34:26
# 
# Heater-output, Time, TempMXC, TempProbe
# % ,s, K ,K 
# Comments: Exercise 3, step alike
0.000000000000000000e+00 1.634122041832525969e+09 3.974590000000000067e-02 4.565179999999999932e-02
0.000000000000000000e+00 1.634122051888772011e+09 3.963320000000000037e-02 4.364939999999999792e-02
0.000000000000000000e+00 1.634122061951020002e+09 3.749879999999999880e-02 4.364649999999999780e-02
0.000000000000000000e+00 1.634122071993795633e+09 3.745710000000000012e-02 4.193310000000000093e-02
0.000000000000000000e+00 1.634122082027360678e+09 3.551279999999999715e-02 4.183420000000000194e-02
0.000000000000000000e+00 1.634122092063278913e+09 3.543079999999999841e-02 3.980550000000000060e-02
0.000000000000000000e+00 1.634122102128242731e+09 3.380099999999999771e-02 3.976860000000000117e-02
0.000000000000000000e+00 1.634122112164532900e+09 3.373550000000000160e-02 3.827679999999999971e-02
0.000000000000000000e+00 1.634122122208832264e+09 3.200360000000000010e-02 3.815360000000000279e-02
0.000000000000000000e+00 1.634122132255219221e+09 3.192330000000000167e-02 3.662449999999999734e-02
0.000000000000000000e+00 1.634122142315863371e+09 3.049170000000000005e-02 3.657819999999999822e-02
0.000000000000000000e+00 1.634122152354283810e+09 3.047259999999999899e-02 3.529240000000000155e-02
0.000000000000000000e+00 1.634122162402185917e+09 2.912529999999999980e-02 3.523409999999999737e-02
0.000000000000000000e+00 1.634122172449496269e+09 2.905119999999999925e-02 3.414129999999999943e-02
0.000000000000000000e+00 1.634122182482273340e+09 2.783820000000000044e-02 3.415549999999999836e-02
0.000000000000000000e+00 1.634122192525494337e+09 2.781269999999999923e-02 3.280659999999999826e-02
0.000000000000000000e+00 1.634122202573729277e+09 2.668509999999999979e-02 3.278489999999999877e-02
0.000000000000000000e+00 1.634122212622891665e+09 2.664189999999999961e-02 3.190760000000000124e-02
0.000000000000000000e+00 1.634122222664274454e+09 2.548699999999999924e-02 3.186900000000000149e-02
0.000000000000000000e+00 1.634122232712498903e+09 2.543580000000000146e-02 3.078349999999999836e-02
0.000000000000000000e+00 1.634122242783091784e+09 2.491979999999999890e-02 3.078989999999999852e-02
0.000000000000000000e+00 1.634122252826373100e+09 2.461649999999999949e-02 3.017260000000000081e-02
0.000000000000000000e+00 1.634122262868860960e+09 2.385929999999999995e-02 3.000970000000000026e-02
0.000000000000000000e+00 1.634122272919484615e+09 2.368839999999999835e-02 2.925140000000000032e-02
0.000000000000000000e+00 1.634122282967358828e+09 2.281270000000000173e-02 2.918180000000000079e-02
0.000000000000000000e+00 1.634122293006908417e+09 2.289980000000000140e-02 2.840929999999999844e-02
0.000000000000000000e+00 1.634122303050675869e+09 2.248369999999999883e-02 2.844019999999999881e-02
0.000000000000000000e+00 1.634122313096365213e+09 2.226430000000000076e-02 2.801160000000000108e-02
0.000000000000000000e+00 1.634122323160941362e+09 2.167619999999999963e-02 2.785090000000000135e-02
0.000000000000000000e+00 1.634122333201956511e+09 2.166569999999999954e-02 2.721490000000000020e-02
0.000000000000000000e+00 1.634122343255030632e+09 2.115020000000000094e-02 2.720490000000000061e-02
0.000000000000000000e+00 1.634122353309998989e+09 2.096009999999999887e-02 2.662880000000000108e-02
0.000000000000000000e+00 1.634122363378025770e+09 2.053249999999999867e-02 2.664340000000000111e-02
0.000000000000000000e+00 1.634122373413392782e+09 2.042700000000000071e-02 2.625800000000000009e-02
0.000000000000000000e+00 1.634122383454982996e+09 1.995299999999999851e-02 2.620839999999999975e-02
0.000000000000000000e+00 1.634122393511995792e+09 1.990329999999999877e-02 2.575629999999999933e-02
0.000000000000000000e+00 1.634122403556606293e+09 1.912370000000000042e-02 2.572860000000000077e-02
0.000000000000000000e+00 1.634122413611204624e+09 1.917200000000000154e-02 2.525830000000000089e-02
0.000000000000000000e+00 1.634122423648132563e+09 1.909659999999999830e-02 2.523440000000000058e-02
0.000000000000000000e+00 1.634122433706880808e+09 1.894399999999999903e-02 2.488970000000000071e-02
0.000000000000000000e+00 1.634122443732010126e+09 1.853959999999999983e-02 2.487960000000000171e-02
0.000000000000000000e+00 1.634122453774783850e+09 1.854599999999999999e-02 2.452529999999999988e-02
0.000000000000000000e+00 1.634122463824080229e+09 1.813700000000000034e-02 2.446670000000000095e-02
0.000000000000000000e+00 1.634122473859159946e+09 1.819789999999999949e-02 2.426249999999999934e-02
0.000000000000000000e+00 1.634122483914110661e+09 1.783989999999999881e-02 2.422830000000000122e-02
0.000000000000000000e+00 1.634122493951582432e+09 1.781320000000000126e-02 2.386539999999999842e-02
0.000000000000000000e+00 1.634122503997918367e+09 1.744170000000000095e-02 2.387449999999999989e-02
0.000000000000000000e+00 1.634122514031716347e+09 1.743750000000000161e-02 2.353999999999999843e-02
0.000000000000000000e+00 1.634122524072510719e+09 1.721280000000000032e-02 2.356240000000000070e-02
0.000000000000000000e+00 1.634122534109836817e+09 1.715049999999999908e-02 2.338319999999999982e-02
0.000000000000000000e+00 1.634122544149131298e+09 1.684530000000000055e-02 2.334320000000000145e-02
0.000000000000000000e+00 1.634122554198729515e+09 1.683729999999999949e-02 2.299210000000000143e-02
0.000000000000000000e+00 1.634122564259735584e+09 1.666379999999999945e-02 2.298269999999999827e-02
0.000000000000000000e+00 1.634122574316932440e+09 1.663859999999999992e-02 2.281209999999999835e-02
0.000000000000000000e+00 1.634122584373224258e+09 1.631430000000000033e-02 2.278929999999999845e-02
0.000000000000000000e+00 1.634122594420053482e+09 1.629519999999999927e-02 2.253559999999999938e-02
0.000000000000000000e+00 1.634122604466810703e+09 1.602769999999999889e-02 2.253569999999999879e-02
0.000000000000000000e+00 1.634122614507393837e+09 1.607700000000000101e-02 2.238539999999999974e-02
0.000000000000000000e+00 1.634122624573236704e+09 1.592270000000000144e-02 2.239990000000000037e-02
0.000000000000000000e+00 1.634122634611680031e+09 1.591079999999999925e-02 2.219420000000000073e-02
