# Start time is 11:45:44
# 
# Heater-output, Time, TempMXC, TempProbe
# % ,s, K ,K 
# Comments: n.a.
6.846999999999999886e+01 1.634118344668240786e+09 2.131970000000000046e-02 2.620079999999999978e-02
6.846999999999999886e+01 1.634118356364855289e+09 2.173080000000000150e-02 2.624529999999999919e-02
6.846999999999999886e+01 1.634118366403916597e+09 2.181359999999999896e-02 2.796660000000000118e-02
6.846999999999999886e+01 1.634118376468817711e+09 2.423279999999999879e-02 2.796610000000000068e-02
6.846999999999999886e+01 1.634118386517995834e+09 2.438250000000000139e-02 2.964220000000000049e-02
6.846999999999999886e+01 1.634118396572360277e+09 2.734970000000000109e-02 2.979230000000000073e-02
6.846999999999999886e+01 1.634118406625864744e+09 2.737610000000000043e-02 3.113619999999999929e-02
6.846999999999999886e+01 1.634118416667670727e+09 2.925809999999999869e-02 3.119769999999999835e-02
6.846999999999999886e+01 1.634118426700837612e+09 2.937649999999999983e-02 3.244770000000000293e-02
6.846999999999999886e+01 1.634118436730448961e+09 3.066229999999999997e-02 3.242369999999999974e-02
6.846999999999999886e+01 1.634118446779462337e+09 3.068910000000000041e-02 3.404360000000000025e-02
6.846999999999999886e+01 1.634118456816649914e+09 3.186110000000000331e-02 3.414389999999999786e-02
6.846999999999999886e+01 1.634118466870603561e+09 3.201709999999999973e-02 3.483920000000000072e-02
6.846999999999999886e+01 1.634118476915477753e+09 3.237310000000000187e-02 3.485130000000000172e-02
6.846999999999999886e+01 1.634118486979712009e+09 3.273170000000000246e-02 3.548980000000000190e-02
6.846999999999999886e+01 1.634118497031500340e+09 3.385810000000000208e-02 3.575310000000000293e-02
6.846999999999999886e+01 1.634118507075193405e+09 3.360500000000000292e-02 3.631100000000000300e-02
6.846999999999999886e+01 1.634118517118995190e+09 3.413920000000000149e-02 3.635530000000000012e-02
6.846999999999999886e+01 1.634118527145795107e+09 3.419690000000000230e-02 3.712340000000000084e-02
6.846999999999999886e+01 1.634118537199987650e+09 3.460830000000000156e-02 3.714930000000000315e-02
6.846999999999999886e+01 1.634118547239537954e+09 3.455020000000000313e-02 3.760639999999999816e-02
6.846999999999999886e+01 1.634118557271952629e+09 3.488669999999999966e-02 3.764730000000000160e-02
6.846999999999999886e+01 1.634118567310256481e+09 3.507419999999999982e-02 3.809860000000000330e-02
6.846999999999999886e+01 1.634118577348651886e+09 3.573500000000000287e-02 3.817149999999999710e-02
6.846999999999999886e+01 1.634118587407399654e+09 3.577229999999999993e-02 3.843219999999999970e-02
6.846999999999999886e+01 1.634118597458192348e+09 3.614210000000000339e-02 3.846120000000000094e-02
6.846999999999999886e+01 1.634118607512318134e+09 3.614160000000000289e-02 3.880019999999999997e-02
6.846999999999999886e+01 1.634118617552679539e+09 3.617660000000000320e-02 3.879300000000000109e-02
6.846999999999999886e+01 1.634118627597818851e+09 3.624340000000000200e-02 3.934750000000000053e-02
6.846999999999999886e+01 1.634118637634903669e+09 3.669789999999999858e-02 3.930399999999999866e-02
6.846999999999999886e+01 1.634118647671804667e+09 3.665480000000000127e-02 3.945590000000000208e-02
6.846999999999999886e+01 1.634118657719709396e+09 3.613750000000000295e-02 3.953809999999999963e-02
6.846999999999999886e+01 1.634118667759134769e+09 3.652620000000000172e-02 3.979950000000000154e-02
6.846999999999999886e+01 1.634118677796900749e+09 3.727069999999999689e-02 3.982170000000000154e-02
6.846999999999999886e+01 1.634118687838529110e+09 3.711840000000000278e-02 3.980140000000000067e-02
6.846999999999999886e+01 1.634118697877563238e+09 3.737990000000000063e-02 3.979019999999999779e-02
6.846999999999999886e+01 1.634118707934424400e+09 3.756480000000000236e-02 4.027189999999999936e-02
6.846999999999999886e+01 1.634118717976034164e+09 3.727430000000000326e-02 4.019280000000000075e-02
6.846999999999999886e+01 1.634118728017174482e+09 3.740369999999999806e-02 4.022359999999999824e-02
6.846999999999999886e+01 1.634118738061071157e+09 3.763070000000000304e-02 4.034379999999999911e-02
6.846999999999999886e+01 1.634118748118073225e+09 3.760759999999999798e-02 4.051939999999999709e-02
6.846999999999999886e+01 1.634118758165073156e+09 3.801720000000000099e-02 4.061460000000000070e-02
6.846999999999999886e+01 1.634118768210039139e+09 3.793969999999999981e-02 4.064389999999999670e-02
6.846999999999999886e+01 1.634118778283033848e+09 3.766669999999999741e-02 4.070819999999999994e-02
6.846999999999999886e+01 1.634118788323319435e+09 3.773379999999999790e-02 4.099350000000000216e-02
6.846999999999999886e+01 1.634118798374501705e+09 3.792709999999999831e-02 4.095170000000000060e-02
6.846999999999999886e+01 1.634118808397193909e+09 3.789170000000000038e-02 4.090060000000000223e-02
6.846999999999999886e+01 1.634118818446006060e+09 3.796560000000000212e-02 4.095170000000000060e-02
6.846999999999999886e+01 1.634118828488964319e+09 3.814399999999999735e-02 4.096319999999999822e-02
6.846999999999999886e+01 1.634118838549050808e+09 3.823739999999999778e-02 4.105149999999999771e-02
6.846999999999999886e+01 1.634118848595600843e+09 3.795590000000000075e-02 4.117230000000000195e-02
6.846999999999999886e+01 1.634118858641488791e+09 3.811439999999999967e-02 4.112589999999999996e-02
