# Start time is 15:10:27
# 
# GATEvoltage, BIASvoltage, Current, Real-LI, Imag-LI
# mV, mV, nA, V, V
# Comments: bias = 0mV; lockin freq = 73.24; lockin V = 500mV-Rms, tau = 300ms, 1MV/A
# 
-3499.9618524 0.0305180 0.0002795 -0.000000085917459 -0.000000032223086
-3480.1251240 0.0305180 0.0002782 0.000000031868295 0.000000096301543
-3459.9832151 0.0305180 0.0002761 0.000000252532140 -0.000000068894563
-3440.1464866 0.0305180 0.0002760 0.000000122604209 -0.000000118028351
-3420.0045777 0.0305180 0.0002757 0.000000065338434 -0.000000069991241
-3399.8626688 0.0305180 0.0002750 -0.000000120383244 -0.000000356250215
-3380.0259403 0.0305180 0.0002718 -0.000000268541768 -0.000000148800555
-3359.8840314 0.0305180 0.0002757 -0.000000027590250 -0.000000622209766
-3340.0473030 0.0305180 0.0002759 -0.000000240693062 -0.000000346167468
-3319.9053941 0.0305180 0.0002756 0.000000204072689 -0.000000082342533
-3300.0686656 0.0305180 0.0002763 0.000000027144999 -0.000000177260159
-3279.9267567 0.0305180 0.0002752 0.000000234831970 0.000000001580698
-3260.0900282 0.0305180 0.0002733 0.000000090589063 -0.000000087215616
-3239.9481193 0.0305180 0.0002767 0.000000103886659 0.000000215678568
-3220.1113909 0.0305180 0.0002756 0.000000036670302 -0.000000113325614
-3199.9694820 0.0305180 0.0002757 0.000000069423224 -0.000000316332757
-3180.1327535 0.0305180 0.0002759 0.000000064069059 -0.000000526419849
-3159.9908446 0.0305180 0.0002764 0.000000096409038 0.000000232253864
-3139.8489357 0.0305180 0.0002757 0.000000156477305 -0.000000412361158
-3120.0122072 0.0305180 0.0002735 0.000000032730013 -0.000000128438281
-3099.8702983 0.0305180 0.0002760 0.000000180527873 -0.000000129256531
-3080.0335698 0.0305180 0.0002741 0.000000004551187 0.000000430490131
-3059.8916609 0.0305180 0.0002754 -0.000000224136563 -0.000000093453233
-3040.0549325 0.0305180 0.0002743 -0.000000206331248 -0.000000249743157
-3019.9130236 0.0305180 0.0002754 -0.000000139089045 -0.000000174267348
-3000.0762951 0.0305180 0.0002763 0.000000172474011 -0.000000464868393
-2979.9343862 0.0305180 0.0002766 0.000000317011793 -0.000000047620054
-2960.0976577 0.0305180 0.0002739 -0.000000191633874 -0.000000067320327
