# Start time is 11:24:33
# 
# Heater-output, Time, TempMXC, TempProbe
# % ,s, K ,K 
# Comments: n.a.
3.332000000000000028e+01 1.634117073923476696e+09 1.369330000000000026e-02 2.133310000000000067e-02
3.332000000000000028e+01 1.634117085609023094e+09 1.367340000000000048e-02 2.116739999999999941e-02
3.332000000000000028e+01 1.634117095650603771e+09 1.375799999999999940e-02 2.128379999999999855e-02
3.332000000000000028e+01 1.634117105710548639e+09 1.376840000000000008e-02 2.156860000000000027e-02
3.332000000000000028e+01 1.634117115756698847e+09 1.418439999999999979e-02 2.157009999999999830e-02
3.332000000000000028e+01 1.634117125821603060e+09 1.412990000000000079e-02 2.183490000000000084e-02
3.332000000000000028e+01 1.634117135857374907e+09 1.435840000000000033e-02 2.178679999999999853e-02
3.332000000000000028e+01 1.634117145904871702e+09 1.441109999999999960e-02 2.249289999999999970e-02
3.332000000000000028e+01 1.634117155944905281e+09 1.479420000000000041e-02 2.243049999999999905e-02
3.332000000000000028e+01 1.634117165985638380e+09 1.481840000000000067e-02 2.240620000000000112e-02
3.332000000000000028e+01 1.634117176038660049e+09 1.523030000000000043e-02 2.250570000000000001e-02
3.332000000000000028e+01 1.634117186077668428e+09 1.526369999999999984e-02 2.278480000000000089e-02
3.332000000000000028e+01 1.634117196118483305e+09 1.575769999999999949e-02 2.282249999999999904e-02
3.332000000000000028e+01 1.634117206164333820e+09 1.581089999999999926e-02 2.305259999999999948e-02
3.332000000000000028e+01 1.634117216206052303e+09 1.630180000000000171e-02 2.301920000000000008e-02
3.332000000000000028e+01 1.634117226250190496e+09 1.632679999999999895e-02 2.360469999999999929e-02
3.332000000000000028e+01 1.634117236296391249e+09 1.680879999999999874e-02 2.367769999999999944e-02
3.332000000000000028e+01 1.634117246352629185e+09 1.682420000000000096e-02 2.398060000000000122e-02
3.332000000000000028e+01 1.634117256396174431e+09 1.718099999999999836e-02 2.401680000000000134e-02
3.332000000000000028e+01 1.634117266458756447e+09 1.719369999999999926e-02 2.387730000000000061e-02
3.332000000000000028e+01 1.634117276489954233e+09 1.777509999999999854e-02 2.389209999999999945e-02
3.332000000000000028e+01 1.634117286523662567e+09 1.775830000000000117e-02 2.437819999999999918e-02
3.332000000000000028e+01 1.634117296564744949e+09 1.816790000000000072e-02 2.439449999999999952e-02
3.332000000000000028e+01 1.634117306623987913e+09 1.817329999999999987e-02 2.436839999999999840e-02
3.332000000000000028e+01 1.634117316683952332e+09 1.859830000000000164e-02 2.441149999999999917e-02
3.332000000000000028e+01 1.634117326728381395e+09 1.862039999999999876e-02 2.463370000000000143e-02
3.332000000000000028e+01 1.634117336788411379e+09 1.888930000000000123e-02 2.462289999999999965e-02
3.332000000000000028e+01 1.634117346830925465e+09 1.892850000000000088e-02 2.485280000000000128e-02
3.332000000000000028e+01 1.634117356885753870e+09 1.925520000000000009e-02 2.495309999999999889e-02
3.332000000000000028e+01 1.634117366928481102e+09 1.926129999999999856e-02 2.504340000000000038e-02
3.332000000000000028e+01 1.634117376975883007e+09 1.943670000000000120e-02 2.510940000000000047e-02
3.332000000000000028e+01 1.634117387024286985e+09 1.945859999999999951e-02 2.510739999999999847e-02
3.332000000000000028e+01 1.634117397072030067e+09 1.957040000000000168e-02 2.510039999999999841e-02
3.332000000000000028e+01 1.634117407110277891e+09 1.958649999999999974e-02 2.525729999999999989e-02
3.332000000000000028e+01 1.634117417142990112e+09 1.981619999999999909e-02 2.518340000000000162e-02
3.332000000000000028e+01 1.634117427200172901e+09 1.981820000000000109e-02 2.532939999999999844e-02
3.332000000000000028e+01 1.634117437233202696e+09 1.985920000000000046e-02 2.532279999999999948e-02
3.332000000000000028e+01 1.634117447292232990e+09 1.987420000000000159e-02 2.548179999999999890e-02
3.332000000000000028e+01 1.634117457334938049e+09 2.006700000000000150e-02 2.545709999999999987e-02
3.332000000000000028e+01 1.634117467380213976e+09 2.009580000000000047e-02 2.541610000000000050e-02
3.332000000000000028e+01 1.634117477414460421e+09 2.022940000000000155e-02 2.542089999999999975e-02
3.332000000000000028e+01 1.634117487457231045e+09 2.021749999999999936e-02 2.557689999999999964e-02
3.332000000000000028e+01 1.634117497511207104e+09 2.025149999999999867e-02 2.560990000000000141e-02
3.332000000000000028e+01 1.634117507560398579e+09 2.025640000000000079e-02 2.572469999999999965e-02
3.332000000000000028e+01 1.634117517619938612e+09 2.047939999999999830e-02 2.573889999999999859e-02
3.332000000000000028e+01 1.634117527660641909e+09 2.048679999999999946e-02 2.600799999999999987e-02
3.332000000000000028e+01 1.634117537728389978e+09 2.048329999999999942e-02 2.600629999999999956e-02
3.332000000000000028e+01 1.634117547768610954e+09 2.048389999999999933e-02 2.580009999999999942e-02
3.332000000000000028e+01 1.634117557808449745e+09 2.046950000000000158e-02 2.581059999999999952e-02
3.332000000000000028e+01 1.634117567849337816e+09 2.046740000000000018e-02 2.591130000000000169e-02
3.332000000000000028e+01 1.634117577881159306e+09 2.064099999999999963e-02 2.590100000000000041e-02
3.332000000000000028e+01 1.634117587934441566e+09 2.064670000000000047e-02 2.579209999999999836e-02
3.332000000000000028e+01 1.634117597972213507e+09 2.068849999999999856e-02 2.580369999999999886e-02
3.332000000000000028e+01 1.634117608024399281e+09 2.068450000000000150e-02 2.591100000000000000e-02
3.332000000000000028e+01 1.634117618074201822e+09 2.064859999999999959e-02 2.590960000000000138e-02
3.332000000000000028e+01 1.634117628112169981e+09 2.064759999999999859e-02 2.551080000000000014e-02
3.332000000000000028e+01 1.634117638222605705e+09 2.064780000000000088e-02 2.551080000000000014e-02
