# Start time is 15:54:18
# 
# GATEvoltage, BIASvoltage, Current, Real-LI, Imag-LI
# mV, mV, nA, V, V
# Comments: bias = 1mV; lockin freq = 73.24; lockin V = 500mV-Rms, tau = 300ms, 1MV/A
# 
-3499.9618524 999.9847410 0.0002665 0.000000157761952 -0.000000138600915
-3480.1251240 999.9847410 0.0002649 0.000000069195900 -0.000000115954236
-3459.9832151 999.9847410 0.0002674 0.000000282345117 -0.000000002855946
-3440.1464866 999.9847410 0.0002668 0.000000197905560 -0.000000016088928
-3420.0045777 999.9847410 0.0002637 0.000000248546033 0.000000185331643
-3399.8626688 999.9847410 0.0002639 0.000000074690454 -0.000000150604465
-3380.0259403 999.9847410 0.0002677 -0.000000035413851 -0.000000059542543
-3359.8840314 999.9847410 0.0002636 0.000000158916784 -0.000000100125527
-3340.0473030 999.9847410 0.0002664 0.000000214823311 0.000000045706300
-3319.9053941 999.9847410 0.0002639 0.000000091542416 0.000000316100733
-3300.0686656 999.9847410 0.0002657 -0.000000230767151 -0.000000239855427
-3279.9267567 999.9847410 0.0002656 0.000000009156415 -0.000000059037378
-3260.0900282 999.9847410 0.0002654 -0.000000102657815 -0.000000131641381
-3239.9481193 999.9847410 0.0002672 0.000000392281424 -0.000000228331784
-3220.1113909 999.9847410 0.0002711 -0.000000120831431 -0.000000056348841
-3199.9694820 999.9847410 0.0002717 -0.000000254164529 -0.000000258300423
-3180.1327535 999.9847410 0.0002686 -0.000000066352289 -0.000000053855909
-3159.9908446 999.9847410 0.0002684 -0.000000283808921 -0.000000175524974
-3139.8489357 999.9847410 0.0002714 0.000000066543195 -0.000000258776805
-3120.0122072 999.9847410 0.0002689 0.000000124197242 -0.000000231885564
-3099.8702983 999.9847410 0.0002698 0.000000069168879 -0.000000009037172
-3080.0335698 999.9847410 0.0002700 0.000000044237209 0.000000135686816
-3059.8916609 999.9847410 0.0002700 -0.000000027740037 -0.000000063357716
-3040.0549325 999.9847410 0.0002698 0.000000099414184 0.000000007965752
-3019.9130236 999.9847410 0.0002690 0.000000020401042 -0.000000203215082
-3000.0762951 999.9847410 0.0002690 0.000000050429008 -0.000000097144464
-2979.9343862 999.9847410 0.0002715 -0.000000075248485 -0.000000181342599
-2960.0976577 999.9847410 0.0002669 -0.000000027180243 -0.000000189399986
-2939.9557488 999.9847410 0.0002684 -0.000000115365072 -0.000000260255882
-2920.1190204 999.9847410 0.0002678 0.000000318887366 -0.000000352032672
-2899.9771115 999.9847410 0.0002696 0.000000273137598 -0.000000135662732
-2880.1403830 999.9847410 0.0002686 -0.000000091990016 -0.000000032795802
-2859.9984741 999.9847410 0.0002712 -0.000000136818738 0.000000108325652
-2839.8565652 999.9847410 0.0002738 -0.000000020432175 -0.000000275214650
-2820.0198367 999.9847410 0.0002723 -0.000000133035285 -0.000000025979007
-2799.8779278 999.9847410 0.0002730 0.000000022240197 -0.000000268296822
-2780.0411994 999.9847410 0.0002717 0.000000054108492 -0.000000175061515
-2759.8992905 999.9847410 0.0002705 0.000000286931548 -0.000000098078433
-2740.0625620 999.9847410 0.0002688 0.000000002232713 0.000000327599705
-2719.9206531 999.9847410 0.0002692 -0.000000152195735 -0.000000105502601
-2700.0839246 999.9847410 0.0002706 0.000000061584351 -0.000000260799229
-2679.9420157 999.9847410 0.0002716 0.000000320559698 0.000000103235231
-2660.1052873 999.9847410 0.0002744 0.000000150858222 -0.000000209530824
-2639.9633783 999.9847410 0.0002762 0.000000114656079 -0.000000161600621
-2620.1266499 999.9847410 0.0002718 -0.000000353914119 -0.000000089908265
-2599.9847410 999.9847410 0.0002701 0.000000049754084 -0.000000180842721
-2580.1480125 999.9847410 0.0002736 0.000000112550832 -0.000000482699554
-2560.0061036 999.9847410 0.0002690 0.000000190803288 -0.000000160463412
-2539.8641947 999.9847410 0.0002698 0.000000009987588 -0.000000179459977
-2520.0274662 999.9847410 0.0002704 -0.000000169823068 0.000000110931953
-2499.8855573 999.9847410 0.0002714 -0.000000127954849 -0.000000050567635
-2480.0488289 999.9847410 0.0002716 -0.000000232870049 0.000000189825265
-2459.9069200 999.9847410 0.0002693 -0.000000074541254 0.000000148854596
-2440.0701915 999.9847410 0.0002693 -0.000000224229372 0.000000051161498
-2419.9282826 999.9847410 0.0002639 -0.000000228738854 -0.000000043234515
-2400.0915541 999.9847410 0.0002628 0.000000066711191 -0.000000142071283
-2379.9496452 999.9847410 0.0002647 -0.000000059153096 -0.000000102098609
-2360.1129168 999.9847410 0.0002713 0.000000026904165 -0.000000168710529
