# Start time is 12:17:35
# 
# Heater-output, Time, TempMXC, TempProbe
# % ,s, K ,K 
# Comments: n.a.
5.477000000000000313e+01 1.634120255445134401e+09 1.557620000000000116e-01 1.567359999999999864e-01
5.477000000000000313e+01 1.634120267162209034e+09 1.893410000000000093e-01 1.589839999999999864e-01
5.477000000000000313e+01 1.634120277202297688e+09 1.924859999999999904e-01 1.979849999999999943e-01
5.477000000000000313e+01 1.634120287263166189e+09 2.107179999999999886e-01 2.021729999999999916e-01
5.477000000000000313e+01 1.634120297311759710e+09 2.146599999999999897e-01 2.154270000000000074e-01
5.477000000000000313e+01 1.634120307374014139e+09 2.299249999999999905e-01 2.188060000000000005e-01
5.477000000000000313e+01 1.634120317411050081e+09 2.296890000000000043e-01 2.297889999999999933e-01
5.477000000000000313e+01 1.634120327463083982e+09 2.350869999999999904e-01 2.310309999999999864e-01
5.477000000000000313e+01 1.634120337503333092e+09 2.436210000000000042e-01 2.344259999999999955e-01
5.477000000000000313e+01 1.634120347535900593e+09 2.492270000000000041e-01 2.417050000000000032e-01
5.477000000000000313e+01 1.634120357587289095e+09 2.523449999999999860e-01 2.537320000000000131e-01
5.477000000000000313e+01 1.634120367653885126e+09 2.585189999999999988e-01 2.535149999999999904e-01
5.477000000000000313e+01 1.634120377697041750e+09 2.629819999999999935e-01 2.632099999999999995e-01
5.477000000000000313e+01 1.634120387749061823e+09 2.714210000000000234e-01 2.622729999999999784e-01
5.477000000000000313e+01 1.634120397803170443e+09 2.728829999999999867e-01 2.746069999999999900e-01
5.477000000000000313e+01 1.634120407850809574e+09 2.844610000000000194e-01 2.697749999999999870e-01
5.477000000000000313e+01 1.634120417885970592e+09 2.820599999999999774e-01 2.790409999999999835e-01
5.477000000000000313e+01 1.634120427940372705e+09 2.811529999999999863e-01 2.823720000000000119e-01
5.477000000000000313e+01 1.634120438006737471e+09 2.884800000000000142e-01 2.917359999999999953e-01
5.477000000000000313e+01 1.634120448062147379e+09 2.972650000000000015e-01 2.929689999999999794e-01
5.477000000000000313e+01 1.634120458126855612e+09 3.001159999999999939e-01 2.961010000000000031e-01
5.477000000000000313e+01 1.634120468168553829e+09 3.042170000000000152e-01 2.958109999999999906e-01
5.477000000000000313e+01 1.634120478201118469e+09 3.086360000000000214e-01 3.098400000000000043e-01
5.477000000000000313e+01 1.634120488251040220e+09 3.183900000000000063e-01 3.090600000000000014e-01
5.477000000000000313e+01 1.634120498312832117e+09 3.170549999999999757e-01 3.199969999999999759e-01
5.477000000000000313e+01 1.634120508356409550e+09 3.304440000000000155e-01 3.175830000000000042e-01
