# Start time is 12:07:38
# 
# Heater-output, Time, TempMXC, TempProbe
# % ,s, K ,K 
# Comments: n.a.
2.737999999999999901e+01 1.634119658845138788e+09 7.523920000000000607e-02 7.617980000000000584e-02
2.737999999999999901e+01 1.634119670543039083e+09 7.906599999999999739e-02 8.380640000000000311e-02
2.737999999999999901e+01 1.634119680569755554e+09 7.906599999999999739e-02 9.093769999999999631e-02
2.737999999999999901e+01 1.634119690595803738e+09 9.717280000000000362e-02 9.093769999999999631e-02
2.737999999999999901e+01 1.634119700640649319e+09 9.717280000000000362e-02 9.995610000000000606e-02
2.737999999999999901e+01 1.634119710689017534e+09 1.041529999999999956e-01 9.995610000000000606e-02
2.737999999999999901e+01 1.634119720729082108e+09 1.041529999999999956e-01 1.060490000000000044e-01
2.737999999999999901e+01 1.634119730763870955e+09 1.084299999999999986e-01 1.099509999999999932e-01
2.737999999999999901e+01 1.634119740812328339e+09 1.096030000000000060e-01 1.102140000000000064e-01
2.737999999999999901e+01 1.634119750861809254e+09 1.129060000000000064e-01 1.140540000000000026e-01
2.737999999999999901e+01 1.634119760917986631e+09 1.162460000000000021e-01 1.146139999999999937e-01
2.737999999999999901e+01 1.634119770967822075e+09 1.172289999999999999e-01 1.176180000000000003e-01
2.737999999999999901e+01 1.634119781020377874e+09 1.190699999999999953e-01 1.192959999999999993e-01
2.737999999999999901e+01 1.634119791058844566e+09 1.210289999999999977e-01 1.220949999999999952e-01
2.737999999999999901e+01 1.634119801085534811e+09 1.213619999999999977e-01 1.222130000000000022e-01
2.737999999999999901e+01 1.634119811124724388e+09 1.237380000000000008e-01 1.228039999999999965e-01
2.737999999999999901e+01 1.634119821170801878e+09 1.281569999999999931e-01 1.255010000000000014e-01
2.737999999999999901e+01 1.634119831232240677e+09 1.281359999999999999e-01 1.281380000000000019e-01
2.737999999999999901e+01 1.634119841295898676e+09 1.318310000000000037e-01 1.279550000000000132e-01
2.737999999999999901e+01 1.634119851330369949e+09 1.304150000000000031e-01 1.315030000000000088e-01
2.737999999999999901e+01 1.634119861361210108e+09 1.329210000000000114e-01 1.304949999999999999e-01
2.737999999999999901e+01 1.634119871418178082e+09 1.324579999999999924e-01 1.332280000000000131e-01
2.737999999999999901e+01 1.634119881462414265e+09 1.357230000000000103e-01 1.331970000000000098e-01
2.737999999999999901e+01 1.634119891517775774e+09 1.347679999999999989e-01 1.375369999999999926e-01
2.737999999999999901e+01 1.634119901540111542e+09 1.359920000000000018e-01 1.353169999999999928e-01
2.737999999999999901e+01 1.634119911597475290e+09 1.378350000000000131e-01 1.373630000000000129e-01
2.737999999999999901e+01 1.634119921647260904e+09 1.400839999999999863e-01 1.379279999999999951e-01
2.737999999999999901e+01 1.634119931685287714e+09 1.399040000000000006e-01 1.383530000000000038e-01
2.737999999999999901e+01 1.634119941730475426e+09 1.429040000000000032e-01 1.389170000000000127e-01
2.737999999999999901e+01 1.634119951775263071e+09 1.413739999999999997e-01 1.397420000000000051e-01
2.737999999999999901e+01 1.634119961816367865e+09 1.423750000000000016e-01 1.413119999999999932e-01
2.737999999999999901e+01 1.634119971853075743e+09 1.438709999999999989e-01 1.429999999999999882e-01
2.737999999999999901e+01 1.634119981900531054e+09 1.443550000000000111e-01 1.433109999999999939e-01
2.737999999999999901e+01 1.634119991956274986e+09 1.447120000000000073e-01 1.436999999999999944e-01
2.737999999999999901e+01 1.634120001995577812e+09 1.453319999999999890e-01 1.448290000000000133e-01
2.737999999999999901e+01 1.634120012037215233e+09 1.463849999999999874e-01 1.471709999999999963e-01
2.737999999999999901e+01 1.634120022079550505e+09 1.466459999999999986e-01 1.450259999999999883e-01
2.737999999999999901e+01 1.634120032121562719e+09 1.480370000000000019e-01 1.481679999999999942e-01
2.737999999999999901e+01 1.634120042167584181e+09 1.486230000000000051e-01 1.480319999999999969e-01
2.737999999999999901e+01 1.634120052211694956e+09 1.487749999999999906e-01 1.471169999999999978e-01
2.737999999999999901e+01 1.634120062269346237e+09 1.480760000000000132e-01 1.476119999999999932e-01
2.737999999999999901e+01 1.634120072319867849e+09 1.495229999999999893e-01 1.490259999999999918e-01
2.737999999999999901e+01 1.634120082375892162e+09 1.519220000000000015e-01 1.509669999999999901e-01
2.737999999999999901e+01 1.634120092420969248e+09 1.511079999999999923e-01 1.508780000000000121e-01
2.737999999999999901e+01 1.634120102462717772e+09 1.513110000000000011e-01 1.502709999999999879e-01
2.737999999999999901e+01 1.634120112498121977e+09 1.512640000000000096e-01 1.517110000000000125e-01
2.737999999999999901e+01 1.634120122554718733e+09 1.520080000000000042e-01 1.519060000000000132e-01
2.737999999999999901e+01 1.634120132615348577e+09 1.531720000000000026e-01 1.518960000000000032e-01
2.737999999999999901e+01 1.634120142651760340e+09 1.543370000000000020e-01 1.525930000000000064e-01
2.737999999999999901e+01 1.634120152709271193e+09 1.539300000000000113e-01 1.521750000000000047e-01
2.737999999999999901e+01 1.634120162751484871e+09 1.528950000000000031e-01 1.536690000000000000e-01
2.737999999999999901e+01 1.634120172793780804e+09 1.538509999999999878e-01 1.549999999999999989e-01
2.737999999999999901e+01 1.634120182825824499e+09 1.537330000000000085e-01 1.538420000000000065e-01
2.737999999999999901e+01 1.634120192869362354e+09 1.557350000000000123e-01 1.556879999999999931e-01
